"Table","Program","Study","Treatment.Cluster","Control.Cluster","Total.Cluster","Unit","Treatment.N","Control.N","Total.N","Posttest","MeasureDomain","Effect Size"
"1.1","Reading Recovery","May et al. (2016)",,,"0",,"3444","3444","6888","ITBS-Comprehension","Comprehension","0.43"
"1.1","Reading Recovery","May et al. (2016)",,,"0",,"3444","3444","6888","ITBS-Reading Words","Alphabetics","0.43"
"1.1","Reading Recovery","Pinnell et al. (1994)",,,"0",,"31","162","193","Gates MacGinitie","Achievement","0.51"
"1.1","Reading Recovery","Pinnell et al. (1994)",,,"0",,"31","163","194","Woodcock Reading Mastery","Achievement","0.49"
"1.1","Reading Recovery","Huggins (1999)",,,"0",,"70","52","122","CAT-Comprehension","Comprehension","-0.15"
"1.1","Reading Recovery","Huggins (1999)",,,"0",,"70","53","123","CAT-Vocabulary","Comprehension","0.03"
"1.1","Targeted Reading Intervention","Vernon-Feagans, L., Kainz, K., Hedrick, A., Ginsberg, M., & Amendum, S. (2013)","7","8","15","schools","176","93","269","Woodcock Johnson - Letter-Word ID","Alphabetics","0.54"
"1.1","Targeted Reading Intervention","Vernon-Feagans, L., Kainz, K., Hedrick, A., Ginsberg, M., & Amendum, S. (2013)","7","8","15","schools","176","96","272","Woodcock Johnson - Passage Comprehension","Comprehension","0.48"
"1.1","Targeted Reading Intervention","Vernon-Feagans, L., Kainz, K., Hedrick, A., Ginsberg, M., & Amendum, S. (2013)","7","8","15","schools","176","96","272","Woodcock Johnson - Word Attack","Alphabetics","0.36"
"1.1","Targeted Reading Intervention","Amendum, Vernon-Feagans, & Ginsberg (2011)","3","4","7","schools","112","63","175","Woodcock Johnson - Letter-Word ID","Alphabetics","0.52"
"1.1","Targeted Reading Intervention","Amendum, Vernon-Feagans, & Ginsberg (2011)","3","4","7","schools","112","63","175","Woodcock Johnson - Passage Comprehension","Comprehension","0.72"
"1.1","Targeted Reading Intervention","Amendum, Vernon-Feagans, & Ginsberg (2011)","3","4","7","schools","112","63","175","Woodcock Johnson - Word Attack","Alphabetics","0.52"
"1.1","TEACH","Mantzicopoulos et al. (1992)",,,"0",,"59","57","116","K-ABC Reading/Decoding","Alphabetics","0.29"
"1.1","TEACH","Mantzicopoulos et al. (1992)",,,"0",,"59","57","116","SDRT-Comprehension","Comprehension","0.1"
"1.1","TEACH","Mantzicopoulos et al. (1992)",,,"0",,"59","57","116","SDRT-Phonetic Analysis","Alphabetics","0.09"
"1.1","TEACH","Mantzicopoulos et al. (1992)",,,"0",,"59","57","116","Woodcock Word Attack","Alphabetics","0.3"
"1.1","Phonetic Intervention Tutoring","Mantzicopoulos et al. (1992)",,,"0",,"52","57","109","K-ABC Reading/Decoding","Alphabetics","0.17"
"1.1","Phonetic Intervention Tutoring","Mantzicopoulos et al. (1992)",,,"0",,"52","57","109","SDRT-Comprehension","Comprehension","-0.11"
"1.1","Phonetic Intervention Tutoring","Mantzicopoulos et al. (1992)",,,"0",,"52","57","109","SDRT-Phonetic Analysis","Alphabetics","0.08"
"1.1","Phonetic Intervention Tutoring","Mantzicopoulos et al. (1992)",,,"0",,"52","57","109","Woodcock Word Attack","Alphabetics","0.34"
"1.1","Intensive Reading Remediation","Blachman, Schatschneider, Fletcher, Francis, Clonan, Shaywitz, & Shaywitz (2004)",,,"0",,"37","32","69","GORT Accuracy","Fluency","0.74"
