"Program","Study","Published","Year","Table","Type","Provider","ProviderType","Paid","Adoptable","Supplement","Replacement","FOI","Location","Extra Time","ComparisonGroup","Freq","Length","Design","Duration","Sample Description","Grade","Grade Band","RaceEthnicityBand","AA.P","H.P","ELL.P","FRL.P"
"Reading Recovery","May et al. (2016)","1","2016","1.1","One-to-One Tutoring","Teacher","Teacher","1","1","1","0","1","All","1","61% received some sort of supplemental instruction","Daily","30 min","Student randomized","12-20 weeks","19% ELL, 13% AA, 20% H, 43% W","1","K-2","Mix","13","20","19","55"
"Reading Recovery","Pinnell et al. (1994)","1","1994","1.1","One-to-One Tutoring","Teacher","Teacher","1","1","1","0","1","All","1","existing Chapter 1 service","Daily","30 min","Student randomized","5 months","74%W, 26% AA, 65% FRL","1","K-2","White","26",,,"65"
"Reading Recovery","Huggins (1999)","0","1999","1.1","One-to-One Tutoring","Teacher","Teacher","1","1","1","0","0","Detroit Public Schools","1","not reported","Daily","30 min","Quasi-experiment","1 year","High-poverty students in Detroit","1","K-2","AfricanAmerican",,,,"100"
"Targeted Reading Intervention","Vernon-Feagans, L., Kainz, K., Hedrick, A., Ginsberg, M., & Amendum, S. (2013)","1","2013","1.1","One-to-One Tutoring","Teacher","Teacher","1","1","1","0","1","Rural","1","not reported","Daily - but on average 2-3 times per week","15 min","Cluster randomized","1 year","Students in disadvantaged rural schools.
50% minority","k,1","K-2","Mix",,,,"100"
"Targeted Reading Intervention","Amendum, Vernon-Feagans, & Ginsberg (2011)","1","2011","1.1","One-to-One Tutoring","Teacher","Teacher","1","1","1","0","1","Rural","1","not reported","4/week","15 min","Cluster randomized","1 year","Districts in the southwestern U.S.","K, 1","K-2","Mix","30",,,"68"
"TEACH","Mantzicopoulos et al. (1992)","1","1992","1.1","One-to-One Tutoring","Teacher","Teacher","1","1","1","0","0","Marin County, CA","1","no contact","2/week","30 min","Student randomized","2 years","Middle-class children in suburban San Francisco 
76%W, 8%AA, 5%H","1-2","K-2","White","8","5",,"34"
"Phonetic Intervention Tutoring","Mantzicopoulos et al. (1992)","1","1992","1.1","One-to-One Tutoring","Teacher","Teacher","1","0","1","0","0","Marin County, CA","1","no contact","2/week","30 min","Student randomized","2 years","Middle-class children in suburban San Francisco 
76%W, 8%AA, 5%H","1-2","K-2","White","8","5",,"34"
"Intensive Reading Remediation","Blachman, Schatschneider, Fletcher, Francis, Clonan, Shaywitz, & Shaywitz (2004)","1","2004","1.1","One-to-One Tutoring","Teacher","Teacher","1","0","1","0","1","Mixed","1","BAU - 72% received some sort of supplemental instruction","Daily","50 min","Student randomized","1 year","Students in upstate NY. 
80%W, 14%AA","2,3","Mix","White","14","1",,"40"
"Early Steps/ Next Steps - Teachers","Morris, Tyner, & Perney (2000)","1","2000","1.1","One-to-One Tutoring","Teacher","Teacher","1","1","1","0","0","urban TN","1","BAU - most receivd some sort of supplemental instruction","Daily","30 min","Cluster quasi-experiment","1 year","High-poverty AA schools in urban TN.","1","K-2","AfricanAmerican","100",,,"100"
"Variations on Tutoring","Hatcher, Hume, & Elias (1994)","1","1994","1.1","One-to-One Tutoring","Teacher","Teacher","1","0","1","0","0","Cumbria Education Authority, UK","1","BAU - half received remedial teaching","2/week","30 min","Quasi-experiment","7 months","Schools in rural Northern England.","Ages 6-7","K-2","White",,,,"40"
"Lindamood Phonemic Sequencing (LiPS)/ Auditory Discrimination in Depth (ADD)","Torgesen, Wagner, & Rashotte (1997)","1","1997","1.1","One-to-One Tutoring","Teacher","Teacher","1","1","1","0","0","Not Reported","1","no-treatment control","4/week","20 min","Student randomized","2 1/2 years","50%W, 49%AA","K-2","K-2","Mix","49",,,"40"
"Intensive Tutorial Intervention","Scanlon et al. (2005): Study 2: 1st","1","2005","1.1","One-to-One Tutoring","Teacher","Teacher","1","0","0","1","0",,"Unknown","instruction available at school","Daily","30 min","Student randomized","1 year","Districts in Albany, NY area","1","K-2","AfricanAmerican",,,,"80"
"Reading and Fluency Training (RAFT)","Wolff (2011)","1","2011","1.1","One-to-One Tutoring","Teacher","Teacher","1","0","0","1","0",,"0","Not reported","Daily","40 min","Student randomized","12 weeks","Rural and urban Sweden","3","3-5","White",,,,"40"
"Direct Instruction Skills Plan","Pinnell et al. (1994)","1","1994","1.1","One-to-One Tutoring","Teacher","Teacher","1","0","1","0","1","All","1","existing Chapter 1 service","Daily","30 min","Student randomized","5 months","74%W, 26% AA, 65% FRL","1","K-2","White","26",,,"65"
"Sound Partners","Vadasy, P. F., & Sanders, E. A. (2011). Scientific Studies of Reading","1","2011","1.2","One-to-One Tutoring","Paraprofessional","Paraprofessional","1","1","1","0","1","urban","1","Regular classroom instruction, no tutoring","4/week","30 min","Student randomized","1 year","47%ELL, 78%FRL, 20%Asian, 26%AA, 38%H","1","K-2","Mix","26","38","47","78"
"Sound Partners","Vadasy, P. F., & Sanders, E. A. (2010). Journal of Educational Psychology","1","2010","1.2","One-to-One Tutoring","Paraprofessional","Paraprofessional","1","1","1","0","1","urban","1","Regular classroom instruction","4/week","30 min","Student randomized","18 weeks","85%FRL, 21% Asian, 24%AA, 42% H, 56% ELL","K","K-2","Mix","24","42","56","85"
